ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,44.12,-123.22,57,-2.04,-7.89,-6.0,0.07,13.67,1,4,7.02,92.98,0
EVV,Evansville Regional Airport,Evansville,IN,38.04,-87.53,57,2.0,-3.65,-6.0,0.12,13.95,3,4,12.28,87.72,3
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,35.07,-77.04,16,1.5,-2.12,-2.5,0.06,10.12,1,1,6.25,93.75,0
EWR,Newark Liberty International Airport,Newark,NJ,40.69,-74.17,1661,14.19,4.87,0.0,0.22,20.18,10,81,21.54,78.46,60
EYW,Key West International Airport,Key West,FL,24.56,-81.76,23,-2.22,-8.65,-6.0,0.09,8.57,3,2,8.7,91.3,0
FAI,Fairbanks International Airport,Fairbanks,AK,64.81,-147.86,36,17.64,12.5,-5.5,0.17,12.28,2,3,16.67,83.33,0
FAR,Hector International Airport,Fargo,ND,46.92,-96.81,95,1.47,-1.27,-5.0,0.09,16.15,5,6,9.47,90.53,0
FAT,Fresno Yosemite International Airport,Fresno,CA,36.78,-119.72,113,20.03,18.66,-2.0,0.18,14.64,2,9,17.86,82.14,1
FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99,-78.88,20,69.45,66.6,0.5,0.2,13.85,2,1,20.0,80.0,0
FCA,Glacier Park International Airport,Kalispell,MT,48.31,-114.26,43,-4.12,-7.79,-6.0,0.05,15.14,2,5,4.65,95.35,0
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.14,-111.67,25,8.52,9.24,-5.0,0.2,17.4,1,1,20.0,80.0,0
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07,-80.15,1257,11.12,3.3,-2.0,0.18,15.03,10,57,18.42,81.58,11
FNT,Bishop International Airport,Flint,MI,42.97,-83.74,90,4.49,0.47,-4.0,0.12,13.77,5,8,12.22,87.78,4
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.58,-96.74,96,9.65,11.04,-3.0,0.27,16.97,5,5,27.08,72.92,3
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.34,-94.37,30,11.07,10.03,-4.0,0.2,11.23,2,2,20.0,80.0,2
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.98,-85.2,89,4.94,2.26,-4.0,0.16,14.88,3,5,15.73,84.27,8
GCC,Gillette-Campbell County Airport,Gillette,WY,44.35,-105.54,17,-3.65,-8.88,-7.0,0.06,12.53,1,3,5.88,94.12,0
GCK,Garden City Regional Airport,Garden City,KS,37.93,-100.72,14,3.71,1.07,-7.5,0.14,10.5,1,1,14.29,85.71,0
GEG,Spokane International Airport,Spokane,WA,47.62,-117.53,157,10.17,8.69,-4.0,0.18,14.78,7,9,18.47,81.53,0
GFK,Grand Forks International Airport,Grand Forks,ND,47.95,-97.18,9,-5.67,-8.78,-7.0,0.0,14.44,1,1,0.0,100.0,0
GGG,East Texas Regional Airport,Longview,TX,32.38,-94.71,12,38.75,40.33,-7.5,0.25,8.33,2,1,25.0,75.0,0
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.12,-108.53,54,-0.39,-4.25,-6.0,0.14,13.87,3,6,13.73,86.27,2
GNV,Gainesville Regional Airport,Gainesville,FL,29.69,-82.27,39,3.38,-0.82,-5.0,0.1,12.85,3,2,10.26,89.74,0
