AIRLINE,AIRLINE_NAME,MONTH,MONTH_NAME,total_flights,avg_air_system_delay,avg_security_delay,avg_airline_delay,avg_late_aircraft_delay,avg_weather_delay,total_air_system_delay,total_airline_delay,total_late_aircraft_delay,total_weather_delay,total_security_delay
EV,Atlantic Southeast Airlines,5,May,819,3.1,0.0,4.12,5.42,0.35,2540.0,3377.0,4438.0,289.0,0.0
EV,Atlantic Southeast Airlines,6,June,775,3.86,0.0,4.44,6.59,0.64,2991.0,3440.0,5106.0,493.0,0.0
EV,Atlantic Southeast Airlines,7,July,850,3.61,0.0,3.87,5.53,0.39,3069.0,3293.0,4703.0,330.0,0.0
EV,Atlantic Southeast Airlines,8,August,798,3.48,0.0,3.71,5.41,0.32,2779.0,2961.0,4315.0,255.0,0.0
EV,Atlantic Southeast Airlines,9,September,760,2.28,0.0,2.5,2.03,0.06,1729.0,1900.0,1546.0,49.0,0.0
EV,Atlantic Southeast Airlines,10,October,776,1.85,0.0,3.39,4.3,0.69,1433.0,2631.0,3340.0,534.0,0.0
EV,Atlantic Southeast Airlines,11,November,696,2.32,0.0,3.48,2.78,0.06,1616.0,2419.0,1933.0,39.0,0.0
EV,Atlantic Southeast Airlines,12,December,735,2.87,0.0,5.4,5.16,0.09,2113.0,3966.0,3789.0,68.0,0.0
F9,Frontier Airlines Inc.,1,January,118,10.96,0.0,3.58,9.89,0.0,1293.0,423.0,1167.0,0.0,0.0
F9,Frontier Airlines Inc.,2,February,124,11.36,0.0,5.86,9.73,0.0,1409.0,727.0,1206.0,0.0,0.0
F9,Frontier Airlines Inc.,3,March,125,6.86,0.0,5.18,7.56,0.0,858.0,647.0,945.0,0.0,0.0
F9,Frontier Airlines Inc.,4,April,111,5.73,0.0,1.41,4.84,0.18,636.0,157.0,537.0,20.0,0.0
F9,Frontier Airlines Inc.,5,May,120,7.43,0.0,2.84,2.21,0.0,892.0,341.0,265.0,0.0,0.0
F9,Frontier Airlines Inc.,6,June,117,8.66,0.0,3.63,11.76,0.0,1013.0,425.0,1376.0,0.0,0.0
F9,Frontier Airlines Inc.,7,July,160,9.28,0.0,3.15,6.46,0.04,1484.0,504.0,1034.0,6.0,0.0
F9,Frontier Airlines Inc.,8,August,121,7.26,0.0,2.49,5.64,0.08,879.0,301.0,683.0,10.0,0.0
F9,Frontier Airlines Inc.,9,September,141,1.77,0.0,1.22,6.35,0.27,250.0,172.0,896.0,38.0,0.0
F9,Frontier Airlines Inc.,10,October,123,2.67,0.0,2.79,5.07,0.0,329.0,343.0,624.0,0.0,0.0
F9,Frontier Airlines Inc.,11,November,137,7.43,0.0,4.2,6.2,0.26,1018.0,576.0,849.0,35.0,0.0
F9,Frontier Airlines Inc.,12,December,142,6.49,0.0,6.3,8.19,2.68,922.0,895.0,1163.0,380.0,0.0
HA,Hawaiian Airlines Inc.,1,January,119,0.31,0.0,1.26,2.58,0.0,37.0,150.0,307.0,0.0,0.0
HA,Hawaiian Airlines Inc.,2,February,87,0.2,0.0,1.77,1.86,0.09,17.0,154.0,162.0,8.0,0.0
HA,Hawaiian Airlines Inc.,3,March,99,0.0,0.0,3.34,0.81,0.49,0.0,331.0,80.0,49.0,0.0
HA,Hawaiian Airlines Inc.,4,April,120,0.0,0.0,1.54,0.32,0.0,0.0,185.0,38.0,0.0,0.0
HA,Hawaiian Airlines Inc.,5,May,113,0.0,0.0,1.61,0.64,0.0,0.0,182.0,72.0,0.0,0.0
HA,Hawaiian Airlines Inc.,6,June,115,0.08,0.0,1.7,0.23,0.0,9.0,196.0,26.0,0.0,0.0
HA,Hawaiian Airlines Inc.,7,July,115,0.0,0.0,3.44,1.28,0.0,0.0,396.0,147.0,0.0,0.0
HA,Hawaiian Airlines Inc.,8,August,134,0.57,0.0,5.44,5.8,0.09,77.0,729.0,777.0,12.0,0.0
HA,Hawaiian Airlines Inc.,9,September,106,0.0,0.0,6.79,3.17,0.64,0.0,720.0,336.0,68.0,0.0
HA,Hawaiian Airlines Inc.,10,October,107,0.0,0.0,0.85,0.69,0.0,0.0,91.0,74.0,0.0,0.0
HA,Hawaiian Airlines Inc.,11,November,108,0.0,0.0,0.82,2.3,0.0,0.0,89.0,248.0,0.0,0.0
HA,Hawaiian Airlines Inc.,12,December,113,0.0,0.0,2.94,2.96,0.0,0.0,332.0,335.0,0.0,0.0
MQ,American Eagle Airlines Inc.,1,January,485,5.22,0.0,4.24,8.61,2.07,2532.0,2054.0,4175.0,1004.0,0.0
MQ,American Eagle Airlines Inc.,2,February,384,5.55,0.0,5.05,8.28,1.73,2131.0,1941.0,3178.0,665.0,0.0
MQ,American Eagle Airlines Inc.,3,March,419,3.9,0.05,4.8,5.96,1.74,1634.0,2011.0,2499.0,729.0,21.0
MQ,American Eagle Airlines Inc.,4,April,451,3.49,0.04,2.03,3.72,1.6,1576.0,914.0,1678.0,723.0,18.0
MQ,American Eagle Airlines Inc.,5,May,443,2.39,0.0,3.53,4.03,1.84,1059.0,1566.0,1784.0,813.0,0.0
MQ,American Eagle Airlines Inc.,6,June,418,3.44,0.02,3.84,5.04,2.49,1437.0,1604.0,2108.0,1041.0,9.0
MQ,American Eagle Airlines Inc.,7,July,410,3.14,0.0,5.05,5.72,1.07,1287.0,2071.0,2347.0,439.0,0.0
MQ,American Eagle Airlines Inc.,8,August,362,2.83,0.0,4.1,4.38,0.69,1023.0,1485.0,1584.0,249.0,0.0
MQ,American Eagle Airlines Inc.,9,September,397,2.48,0.0,2.63,2.41,0.28,983.0,1045.0,955.0,113.0,0.0
MQ,American Eagle Airlines Inc.,10,October,340,1.5,0.0,2.22,1.7,1.38,510.0,755.0,577.0,468.0,0.0
MQ,American Eagle Airlines Inc.,11,November,355,2.57,0.0,2.66,2.87,0.78,913.0,944.0,1019.0,277.0,0.0
MQ,American Eagle Airlines Inc.,12,December,372,2.37,0.0,5.89,3.44,2.27,880.0,2192.0,1280.0,844.0,0.0
NK,Spirit Air Lines,1,January,167,12.25,0.0,1.17,0.76,0.02,2046.0,195.0,127.0,4.0,0.0
NK,Spirit Air Lines,2,February,123,7.3,0.0,4.25,8.16,0.98,898.0,523.0,1004.0,120.0,0.0
NK,Spirit Air Lines,3,March,139,5.29,0.0,6.59,3.59,0.0,735.0,916.0,499.0,0.0,0.0
